Sector;;;1995;Part (%);1996;Part (%);1997;Part (%);1998;Part (%);1999;Part (%);2000;Part (%);2001;Part (%);2002;Part (%);2003;Part (%);2004;Part (%);2005;Part (%);2006;Part (%);2007;Part (%);2008;Part (%);2009;Part (%);2010;Part (%);2011;Part (%);2012;Part (%);2013;Part (%);2014;Part (%);2015;Part (%);2016;Part (%);2017;Part (%);2018;Part (%);2019;Part (%);2020;Part (%);2021;Part (%);2022;Part (%);2023*;Part (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de productos informáticos, electrónicos y ópticos;;; 12 ;0.1; 14 ;0.1; 15 ;0.1; 15 ;0.1; 17 ;0.1; 22 ;0.2; 28 ;0.2; 37 ;0.3; 50 ;0.4; 72 ;0.4; 76 ;0.4; 83 ;0.3; 79 ;0.3; 98 ;0.3; 123 ;0.4; 87 ;0.2; 93 ;0.2; 108 ;0.2; 150 ;0.3; 148 ;0.3; 158 ;0.4; 143 ;0.5; 144 ;0.4;138;0.3; 161 ;0.4;151;0.5; 161 ;0.4; 212 ;0.4; 139 ;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de aparatos y equipo eléctrico;;; 102 ;1.0; 90 ;0.8; 132 ;1.1; 126 ;1.2; 113 ;1.0; 175 ;1.3; 201 ;1.6; 170 ;1.4; 140 ;1.1; 218 ;1.3; 298 ;1.4; 407 ;1.7; 620 ;2.0; 695 ;1.9; 557 ;1.7; 363 ;0.9; 422 ;0.7; 490 ;0.8; 484 ;0.8; 447 ;0.8; 446 ;1.2; 433 ;1.4; 471 ;1.2;463;1.1; 489 ;1.2;489;1.6; 624 ;1.5; 672 ;1.2; 505 ;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de maquinaria y equipo n.c.p.;;; 62 ;0.6; 66 ;0.6; 79 ;0.7; 95 ;0.9; 81 ;0.7; 85 ;0.6; 118 ;1.0; 88 ;0.7; 99 ;0.8; 165 ;1.0; 168 ;0.8; 194 ;0.8; 258 ;0.9; 383 ;1.0; 410 ;1.2; 254 ;0.6; 287 ;0.5; 318 ;0.5; 358 ;0.6; 384 ;0.7; 326 ;0.9; 348 ;1.1; 332 ;0.9;308;0.7; 281 ;0.7;232;0.7; 255 ;0.6; 312 ;0.5; 201 ;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de vehículos automotores, remolques y semirremolques;;; 87 ;0.9; 115 ;1.1; 207 ;1.8; 181 ;1.7; 84 ;0.7; 240 ;1.8; 461 ;3.7; 363 ;3.0; 126 ;1.0; 422 ;2.5; 656 ;3.1; 753 ;3.1; 1,151 ;3.8; 547 ;1.5; 266 ;0.8; 371 ;0.9; 426 ;0.7; 579 ;1.0; 856 ;1.5; 544 ;1.0; 501 ;1.4; 539 ;1.7; 542 ;1.4;649;1.5; 634 ;1.6;332;1.1; 318 ;0.8; 397 ;0.7; 377 ;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de otros tipos de equipo de transporte;;; 6 ;0.1; 8 ;0.1; 14 ;0.1; 18 ;0.2; 26 ;0.2; 61 ;0.5; 55 ;0.4; 41 ;0.3; 55 ;0.4; 63 ;0.4; 97 ;0.5; 135 ;0.6; 176 ;0.6; 230 ;0.6; 141 ;0.4; 130 ;0.3; 51 ;0.1; 62 ;0.1; 75 ;0.1; 80 ;0.1; 83 ;0.2; 76 ;0.2; 107 ;0.3;80;0.2; 150 ;0.4;89;0.3; 103 ;0.2; 126 ;0.2; 53 ;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de muebles, colchones y somieres;;; 12 ;0.1; 13 ;0.1; 17 ;0.2; 20 ;0.2; 22 ;0.2; 37 ;0.3; 53 ;0.4; 44 ;0.4; 46 ;0.3; 64 ;0.4; 87 ;0.4; 103 ;0.4; 144 ;0.5; 130 ;0.4; 83 ;0.3; 83 ;0.2; 103 ;0.2; 90 ;0.1; 84 ;0.1; 73 ;0.1; 66 ;0.2; 63 ;0.2; 65 ;0.2;74;0.2; 77 ;0.2;74;0.2; 111 ;0.3; 124 ;0.2; 88 ;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otras industrias manufactureras;;; 498 ;4.9; 239 ;2.2; 208 ;1.8; 162 ;1.5; 182 ;1.6; 173 ;1.3; 172 ;1.4; 178 ;1.5; 170 ;1.3; 189 ;1.1; 204 ;1.0; 233 ;1.0; 329 ;1.1; 389 ;1.1; 277 ;0.8; 259 ;0.7; 308 ;0.5; 307 ;0.5; 303 ;0.5; 289 ;0.5; 283 ;0.8; 267 ;0.8; 260 ;0.7;271;0.6; 265 ;0.7;186;0.6; 277 ;0.7; 280 ;0.5; 206 ;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reciclaje;;; 2 ;0.0; 2 ;0.0; 2 ;0.0; 1 ;0.0; 2 ;0.0; 2 ;0.0; 1 ;0.0; 2 ;0.0; 4 ;0.0; 8 ;0.0; 9 ;0.0; 24 ;0.1; 37 ;0.1; 32 ;0.1; 20 ;0.1; 50 ;0.1; 61 ;0.1; 41 ;0.1; 40 ;0.1; 33 ;0.1; 18 ;0.1; 14 ;0.0; 24 ;0.1;41;0.1; 29 ;0.1;17;0.1; 39 ;0.1; 39 ;0.1; 15 ;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Demás Sectores **;;; 125 ;1.2; 116 ;1.1; 123 ;1.1; 138 ;1.3; 124 ;1.1; 144 ;1.1; 180 ;1.5; 163 ;1.4; 218 ;1.7; 275 ;1.6; 349 ;1.6; 342 ;1.4; 306 ;1.0; 275 ;0.7; 280 ;0.9; 199 ;0.5; 282 ;0.5; 238 ;0.4; 210 ;0.4; 296 ;0.5; 138 ;0.4; 75 ;0.2; 63 ;0.2;74;0.2; 69 ;0.2; 50 ;0.2; 61 ;0.1; 68 ;0.1; 105 ;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
